,departure,arrival,user,tt
0,473.0,512.8288940787418,0,39.82889407874177
1,498.0,535.2432248335415,1,37.24322483354149
2,486.0,524.8299522039158,2,38.82995220391581
3,394.0,422.7108407577504,3,28.710840757750418
4,482.0,521.2386015237018,4,39.238601523701846
5,424.0,460.00612261957866,5,36.00612261957866
6,437.0,474.5639332367875,6,37.56393323678748
7,406.0,438.57027689852924,7,32.570276898529244
8,394.0,422.7108407577504,8,28.710840757750418
9,470.0,509.93582806749885,9,39.935828067498846
10,464.0,503.9068072255863,10,39.906807225586306
11,427.0,463.3870938877869,11,36.387093887786875
12,464.0,503.9068072255863,12,39.906807225586306
13,467.0,506.95401683389514,13,39.95401683389514
14,406.0,438.57027689852924,14,32.570276898529244
15,552.0,580.1335980945082,15,28.133598094508216
16,541.0,571.6218107002625,16,30.621810700262472
17,458.0,497.6533754865819,17,39.65337548658192
18,395.0,424.05603693609766,18,29.056036936097655
19,435.0,472.3204576637456,19,37.32045766374557
20,472.0,511.87316741365123,20,39.87316741365123
21,392.0,420.0280099738695,21,28.028009973869473
22,463.0,502.8765497157459,22,39.87654971574591
23,397.0,426.73496642187564,23,29.73496642187564
24,409.0,442.34760542475226,24,33.34760542475226
25,435.0,472.3204576637456,25,37.32045766374557
26,477.0,516.6203517100975,26,39.62035171009745
27,447.0,485.6598412909571,27,38.659841290957104
28,449.0,487.8673260923441,28,38.867326092344115
29,512.0,547.3042427884781,29,35.304242788478064
30,417.0,452.01078333024117,30,35.01078333024117
31,419.0,454.32034198749574,31,35.32034198749574
32,421.0,456.6068414710864,32,35.6068414710864
33,449.0,487.8673260923441,33,38.867326092344115
34,407.0,439.8403918382498,34,32.840391838249786
35,460.0,499.756613441277,35,39.75661344127701
36,529.0,561.8830551406406,36,32.883055140640636
37,509.0,544.7059507344584,37,35.70595073445838
38,428.0,464.5055205359285,38,36.5055205359285
39,448.0,486.7678556904121,39,38.76785569041209
40,457.0,496.5897717614685,40,39.58977176146851
41,464.0,503.9068072255863,41,39.906807225586306
42,458.0,497.6533754865819,42,39.65337548658192
43,504.0,540.4074739783531,43,36.407473978353096
44,485.0,523.9411035202661,44,38.9411035202661
45,507.0,542.9835432593216,45,35.98354325932155
46,400.0,430.74458192344883,46,30.744581923448834
47,522.0,555.9618193816783,47,33.96181938167831
48,408.0,441.0987372899575,48,33.09873728995751
49,454.0,493.32715830493885,49,39.32715830493885
50,463.0,502.8765497157459,50,39.87654971574591
51,544.0,573.9769397760855,51,29.976939776085487
52,494.0,531.8069094207459,52,37.80690942074591
53,480.0,519.403396465147,53,39.40339646514701
54,435.0,472.3204576637456,54,37.32045766374557
55,480.0,519.403396465147,55,39.40339646514701
56,497.0,534.3801995902455,56,37.380199590245525
57,515.0,549.8933383482382,57,34.89333834823822
58,457.0,496.5897717614685,58,39.58977176146851
59,453.0,492.23374487262817,59,39.233744872628165
60,453.0,492.23374487262817,60,39.233744872628165
61,552.0,580.1335980945082,61,28.133598094508216
