,betavot,dailyincome,a,mce,utilbenefit,util,tt,cv,arrival,departure,ifptshare,ifbindingI,SDE,SDL,TT,CPcost,NTtt,NTsde,NTsdl,PAT,usersell,userbuy,usernet,userToll,userAllowance,uninet,TTv,SDEv,SDLv,Wv,nonlinearInc,linearInc
0,0.7977494175018526,1113.9591612026677,0.0,10.10275348309584,10.129912416417937,1094.7487728117173,24.0,0.0,510.0,486,False,False,24.0,0.0,24.0,3.453780000000002,41.0,7.0,0.0,510,0.0,3.453780000000002,-3.453780000000002,6.649500000000002,0.0,-3.453780000000002,19.14598602004446,14.212623894695419,0.0,0.0,21.01679782416955,1100.79073163745
1,0.165117661540444,202.96943261823935,0.0,0.4643755202928105,0.47117227307239773,211.5863595401157,25.0,0.0,417.0,392,False,False,14.0,0.0,25.0,0.0,24.0,15.0,0.0,407,0.3577200000000304,0.0,0.3577200000000304,2.838000000000001,0.0,0.0,4.1279415385111,1.052599074296276,0.0,0.0,15.88629968003212,197.424003053022
2,0.06685928409706528,61.47736909977401,0.0,3.1378868594022724,3.286186335447198,68.98875823990804,25.0,0.0,401.0,376,False,False,29.0,0.0,25.0,0.0,25.0,12.0,0.0,406,3.1957200000000014,0.0,3.1957200000000014,0.0,0.0,0.0,1.671482102426632,0.7996948997441384,0.0,0.0,12.458214894011352,61.60793953455662
3,0.097843425695534,106.09453300156896,0.0,-5.151627183428631,-5.294602791178022,112.8818529765897,24.0,0.0,433.0,409,False,False,21.0,0.0,24.0,3.024780000000001,30.0,15.0,0.0,430,0.0,3.024780000000001,-3.024780000000001,6.220500000000002,0.0,-3.024780000000001,2.348242216692816,0.8240116983847338,0.0,0.0,13.686290208917132,93.78410343635157
4,0.20709336614249205,263.4144472451885,0.0,-4.339681333965722,-4.388733087316098,263.9726157919337,24.0,0.0,536.0,512,False,False,22.0,0.0,24.0,3.453780000000002,35.0,11.0,0.0,534,0.0,3.453780000000002,-3.453780000000002,6.649500000000002,0.0,-3.453780000000002,4.970240787419809,3.912358416497213,0.0,0.0,16.591214615741226,250.24601767997112
5,0.07629486386449787,75.06460396487694,0.0,-5.713186810659677,-5.935591903921306,90.93909649413678,24.0,0.0,426.0,402,False,False,27.0,0.0,24.0,3.024780000000001,27.0,24.0,0.0,429,0.0,3.024780000000001,-3.024780000000001,6.220500000000002,0.0,-3.024780000000001,1.831076732747949,0.6827432030257283,0.0,0.0,12.51179450398317,62.75417439965955
6,0.0501820450262938,37.46214483786308,0.0,0.1634311832114334,0.17585558517054523,42.28451476216544,43.199999999999996,0.0,0.0,-1,True,False,0.0,0.0,43.199999999999996,0.0,25.0,29.0,0.0,423,3.1957200000000014,0.0,3.1957200000000014,0.0,0.0,0.0,2.167864345135892,0.0,0.0,1.505461350788814,11.202532357425426,39.85358483786308
7,0.05531651091023845,44.85577571074337,0.0,-4.4865494453983255,-4.773806419208469,50.78687841704922,43.199999999999996,0.0,0.0,-1,True,False,0.0,0.0,43.199999999999996,0.0,30.0,3.0,0.0,418,3.1957200000000014,0.0,3.1957200000000014,0.0,0.0,0.0,2.389673271322301,0.0,0.0,1.6594953273071535,11.69055849668397,47.247215710743376
8,0.0798974353279566,80.2523068722575,0.0,5.715587233519834,5.924052653549808,106.44512765508108,25.0,0.0,592.0,567,False,False,0.0,23.0,25.0,0.0,24.0,0.0,22.0,545,3.0142200000000368,0.0,3.0142200000000368,0.18150000000000008,0.0,0.0,1.997435883198915,0.0,3.99315298632594,0.0,13.220884872216114,80.01987730704019
9,0.028803178562723648,23.200000000000003,0.0,1.7717121805047973,1.9826302972315588,31.420315986599928,43.199999999999996,0.0,0.0,-1,True,False,0.0,0.0,43.199999999999996,0.0,41.0,0.0,38.0,467,3.1957200000000014,0.0,3.1957200000000014,0.0,0.0,0.0,1.2442973139096614,0.0,0.0,0.8640953568817095,9.95251673907205,25.591440000000006
10,0.10783243194320052,120.47870199820876,0.0,-0.8336624291516398,-0.8540822021134034,128.25100146394843,24.0,0.0,586.0,562,False,False,0.0,14.0,24.0,0.0,28.0,11.0,0.0,548,3.0142200000000368,0.0,3.0142200000000368,0.18150000000000008,0.0,0.0,2.5879783666368126,0.0,2.1375129558024812,0.0,14.418112909633312,120.24627243299145
11,0.2507448206673215,326.27254176094294,0.0,-0.21041349831173983,-0.21233641422651317,328.2515254839631,24.0,0.0,586.0,562,False,False,0.0,8.0,24.0,0.0,24.0,4.0,0.0,554,3.0142200000000368,0.0,3.0142200000000368,0.18150000000000008,0.0,0.0,6.017875696015716,0.0,3.711740542619775,0.0,17.379407682559744,326.0401121957256
12,0.09944128765310077,108.39545422046511,0.0,-4.324707000166345,-4.442231051243567,115.26506665999985,24.0,0.0,515.0,491,False,False,18.0,0.0,24.0,3.453780000000002,41.0,1.0,0.0,509,0.0,3.453780000000002,-3.453780000000002,6.649500000000002,0.0,-3.453780000000002,2.3865909036744184,0.7515195955756167,0.0,0.0,13.731146112766222,95.22702465524772
13,0.8503340814879176,1189.6810773426014,0.0,18.038747097681224,18.084158778979145,1174.7106155609831,24.0,0.0,485.0,461,False,False,8.0,0.0,24.0,3.453780000000002,43.0,1.0,0.0,469,0.0,3.453780000000002,-3.453780000000002,6.649500000000002,0.0,-3.453780000000002,20.408017955710022,5.326214451707881,0.0,0.0,21.216025363249514,1176.5126477773838
