,buy,sell
0,,3.1927545498637615
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,1.1469315000000047,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,1.1069850000000034,
391,1.1025465000000032,
392,,
393,3.0247800000000007,3.1957200000000014
394,3.024780000000001,3.1957200000000014
395,3.024780000000001,3.1957200000000014
396,3.024780000000001,3.1957200000000014
397,3.024780000000001,3.1957200000000014
398,3.024780000000001,3.1957200000000014
399,3.024780000000001,3.1957200000000014
400,3.024780000000001,3.1957200000000014
401,3.024780000000001,3.1957200000000014
402,3.024780000000001,3.1957200000000014
403,3.0247800000000016,3.1957200000000014
404,3.024780000000001,3.1957200000000014
405,3.0247800000000007,3.1957200000000014
406,3.024780000000001,3.1957200000000014
407,3.024780000000001,3.1957200000000014
408,3.024780000000001,3.1957200000000014
409,3.0247800000000007,3.1957200000000014
410,3.024780000000001,3.1957200000000014
411,3.0247800000000007,3.1957200000000014
412,3.024780000000001,3.1957200000000014
413,3.024780000000001,3.1957200000000014
414,3.024780000000001,3.1957200000000014
415,3.0247800000000007,3.1957200000000014
416,3.0247800000000007,3.1957200000000014
417,3.024780000000001,3.1957200000000014
418,3.024780000000001,3.1957200000000014
419,3.024780000000001,3.1957200000000014
420,3.024780000000001,3.1957200000000014
421,3.024780000000001,3.1957200000000014
422,3.024780000000001,3.1957200000000014
423,3.024780000000001,3.1957200000000014
424,3.024780000000001,3.1957200000000014
425,3.024780000000001,3.1957200000000014
426,3.024780000000001,3.1957200000000014
427,3.024780000000001,3.1957200000000014
428,3.024780000000001,3.1957200000000014
429,3.0247800000000016,3.1957200000000014
430,3.024780000000001,3.1957200000000014
431,3.0247800000000007,3.1957200000000014
432,3.0247800000000007,3.1957200000000014
433,3.0247800000000016,3.1957200000000014
434,3.024780000000001,3.1957200000000014
435,3.024780000000001,3.1957200000000014
436,3.0247800000000016,3.1957200000000014
437,3.024780000000001,3.1957200000000014
438,3.0247800000000016,3.1957200000000014
439,3.0247800000000007,3.1957200000000014
440,3.024780000000001,3.1957200000000014
441,3.024780000000001,3.1957200000000014
442,3.024780000000001,3.1957200000000014
443,3.024780000000001,3.1957200000000014
444,3.024780000000001,3.1957200000000014
445,3.024780000000001,3.1957200000000014
446,3.0247800000000007,3.1957200000000014
447,3.024780000000001,3.1957200000000014
448,3.024780000000001,3.1957200000000014
449,3.024780000000001,3.1957200000000014
450,3.024780000000001,3.1957200000000014
451,3.027569914285714,3.1957200000000014
452,3.024780000000001,3.1957200000000014
453,3.0247800000000007,3.1957200000000014
454,3.024780000000001,3.1957200000000014
455,3.024780000000001,3.195720000000001
456,3.024780000000001,3.1957200000000014
457,3.024780000000001,3.1957200000000014
458,3.453780000000002,2.2927200000000103
459,3.453780000000002,2.0777200000000127
460,3.453780000000002,1.675362857142874
461,3.453780000000002,1.9185540000000139
462,3.4537800000000023,2.0605200000000132
463,3.453780000000002,2.2497200000000115
464,3.4537800000000014,1.6477200000000172
465,3.4537800000000023,2.163720000000012
466,3.453780000000002,1.5740057142857324
467,3.4537800000000023,1.4118342857143051
468,3.453780000000002,1.4166752238806166
469,3.453780000000002,1.3614029268292887
470,3.4537800000000014,1.2505442696629423
471,3.4537800000000014,0.9320457142857383
472,3.4537800000000023,1.4331726315789668
473,3.453780000000002,3.1957200000000014
474,3.453780000000002,3.1957200000000014
475,3.453780000000002,3.1957200000000014
476,3.453780000000002,3.1957200000000014
477,3.4537800000000023,3.1957200000000014
478,3.4537800000000014,3.1957200000000014
479,3.4537800000000014,3.1957200000000014
480,3.4537800000000023,3.1957200000000014
481,3.453780000000002,3.1957200000000014
482,3.4537800000000023,3.1957200000000014
483,3.453780000000002,3.1957200000000014
484,3.4537800000000014,3.1957200000000014
485,3.453780000000002,3.1957200000000014
486,3.453780000000002,3.1957200000000014
487,3.453780000000002,3.1957200000000014
488,3.4537800000000023,3.1957200000000014
489,3.4537800000000014,3.1957200000000014
490,3.453780000000002,3.1957200000000014
491,3.4537800000000014,3.1957200000000014
492,3.453780000000002,3.1957200000000014
493,3.453780000000002,3.1957200000000014
494,3.4537800000000014,3.1957200000000014
495,3.4537800000000023,3.1957200000000014
496,3.453780000000002,3.1957200000000014
497,3.453780000000002,3.1957200000000014
498,3.4537800000000014,3.1957200000000014
499,3.453780000000002,3.1957200000000014
500,3.453780000000002,3.1957200000000014
501,3.4537800000000023,3.1957200000000014
502,3.4537800000000023,3.1957200000000014
503,3.4537800000000014,3.1957200000000014
504,3.453780000000002,3.1957200000000014
505,3.453780000000002,3.1957200000000014
506,3.453780000000002,3.1957200000000014
507,3.4537800000000023,3.1957200000000014
508,3.453780000000002,3.1957200000000014
509,3.453780000000002,3.1957200000000014
510,3.4537800000000023,3.1957200000000014
511,3.4537800000000014,3.1957200000000014
512,3.453780000000002,3.1957200000000014
513,3.453780000000002,3.1957200000000014
514,3.453780000000002,3.1957200000000014
515,3.453780000000002,3.1957200000000014
516,3.453780000000002,3.1957200000000014
517,3.453780000000002,3.1957200000000014
518,3.453780000000002,3.1957200000000014
519,3.453780000000002,3.1957200000000014
520,3.453780000000002,3.1957200000000014
521,3.4537800000000023,3.0289904840425876
522,3.453780000000002,3.0353950000000327
523,3.453780000000002,2.998040718750031
524,3.453780000000002,3.035128411764739
525,3.453780000000002,3.0328353846154177
526,3.4537800000000014,3.0369075000000323
527,3.453780000000002,3.0173732678571796
528,3.453780000000002,3.0420041666666986
529,3.4537800000000023,3.0432600000000307
530,3.453780000000002,3.0579305625000295
531,3.453780000000002,3.1957200000000014
532,3.453780000000002,3.1957200000000014
533,3.453780000000002,3.1957200000000014
534,3.453780000000002,3.1957200000000014
535,3.453780000000002,3.1957200000000014
536,3.453780000000002,3.1957200000000014
537,3.453780000000002,3.1957200000000014
538,3.453780000000002,3.1957200000000014
539,3.453780000000002,3.1957200000000014
