,buy,sell
462,0.20527999999999985,0.0846839999999999
463,0.20927999999999977,0.7747199999999993
464,0.21327999999999983,0.7747199999999993
465,0.2132799999999999,
466,0.21727999999999975,
467,0.21727999999999978,0.7747199999999993
468,0.22127999999999984,
469,0.22127999999999984,0.05072000000000837
470,0.2212799999999998,0.7747199999999993
471,0.22127999999999984,
472,0.22527999999999979,
473,0.22527999999999979,
474,0.22527999999999976,0.7747199999999993
475,0.22527999999999976,0.05872000000000812
476,0.22527999999999979,
477,0.22127999999999984,
478,0.2212799999999998,
479,0.22127999999999984,
480,0.22127999999999984,
481,0.2172799999999998,
482,0.21727999999999975,0.08033538461539232
483,0.2132799999999999,
484,0.21327999999999986,0.7747199999999993
485,0.20927999999999974,
486,0.20527999999999985,
487,0.20527999999999985,0.7747199999999993
488,0.20127999999999974,0.7747199999999993
489,0.19727999999999984,
490,0.19327999999999979,
491,0.18927999999999987,
492,0.18527999999999975,0.0787200000000075
493,0.18127999999999986,
494,0.1772799999999998,
495,0.17327999999999985,
496,0.1692799999999998,
497,0.16527999999999982,
498,0.15727999999999986,0.08672000000000725
499,0.1532799999999998,
500,0.14927999999999986,
501,0.14127999999999985,
502,0.1372799999999998,
503,0.12927999999999976,
504,0.12527999999999986,
505,0.11727999999999987,0.09472000000000699
506,0.10927999999999986,
507,0.10527999999999994,
508,0.09727999999999995,
509,0.08927999999999996,0.7747199999999993
510,0.08127999999999996,
511,0.07327999999999994,0.10272000000000676
512,0.06927999999999986,
513,0.061279999999999855,
514,0.053279999999999855,
515,0.045279999999999855,
516,0.037279999999999855,
517,0.029279999999999858,
518,0.021279999999999945,
519,0.013279999999999946,
520,0.001279999999999947,
521,,0.11472000000000651
522,,
523,,
524,,
525,,
526,,
527,,
528,,0.12272000000000638
529,,
530,,
531,,
532,,
533,,
534,,0.1307200000000061
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,0.14272000000000587
545,,
546,,
547,,
548,,
549,,
550,,
551,,0.1507200000000057
552,,0.060847999999999916
553,,
554,,
555,,
556,,
557,,0.1587200000000055
558,,
559,,
560,,0.0763799999999999
561,,
562,,
563,,
564,,
565,,
566,,
567,,0.17072000000000526
568,,
569,,
570,,
571,,
572,,
573,,0.05072000000000837
574,,0.17872000000000515
575,,
576,,
577,,
578,,
579,,
580,,0.18672000000000497
581,,0.05872000000000812
582,,
583,,
584,,
585,,
586,,
587,,
588,,
589,,
590,,0.15472000000000574
591,,
592,,
593,,
594,,
595,,
596,,
597,,0.20672000000000443
598,,0.07472000000000763
599,,
600,,
601,,
602,,
603,,0.21472000000000407
604,,
605,,
606,,
607,,
608,,
609,,
610,,0.08672000000000726
611,,
612,,
613,,0.22672000000000353
614,,
615,,
616,,
617,,
618,,
619,,0.09472000000000699
620,,0.23472000000000315
621,,
622,,
623,,
624,,
625,,
626,,0.24272000000000282
627,,0.10272000000000678
628,,
629,,
630,,
631,,
632,,
633,,0.2507200000000025
634,,
635,,0.11072000000000662
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,0.262720000000002
644,,
645,,
646,,
647,,
648,,0.12272000000000638
649,,0.2707200000000017
650,,
651,,
652,,
653,,
654,,
655,,
656,,0.22877000000000294
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,0.13872000000000592
665,,
666,,0.29072000000000087
667,,
668,,
669,,
670,,
671,,
672,,0.29872000000000054
673,,
674,,
675,,
676,,
677,,0.1507200000000057
678,,
679,,0.30672000000000016
680,,
681,,
682,,
683,,
684,,
685,,0.25314105263158104
686,,
687,,
688,,
689,,
690,,
691,,0.3227199999999995
692,,
693,,0.1667200000000054
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,0.33471999999999896
703,,
704,,
705,,
706,,0.17872000000000512
707,,
708,,0.34271999999999864
709,,
710,,
711,,
712,,
713,,
714,,0.2974200000000004
715,,
716,,
717,,
718,,
719,,
